experiment_folder,experiment_title,base_matcher,matcher,modality,dataset,dataset_file,config_file,summary_file,threshold_analysis_file,eer,accuracy,precision,recall,roc_auc,tar,far,frr,trr,num_pairs,num_genuine,num_impostor,avg_inlier_ratio
face_multipie_500_nc_masked_all_matchers,All matchers 500 faces Multi-PIE with masking and matched side and palmar/dorsal,superglue,superglue,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_nc.csv,bioverify/results/face_multipie_500_nc_masked_all_matchers/config.yaml,bioverify/results/face_multipie_500_nc_masked_all_matchers/summary.json,bioverify/results/face_multipie_500_nc_masked_all_matchers/evaluation/superglue_threshold_analysis.json,0.416,0.504,0.5227272727272727,0.092,0.5744400000000001,0.092,0.084,0.908,0.916,500,250,250,0.16994161102075128
face_multipie_500_nc_masked_all_matchers,All matchers 500 faces Multi-PIE with masking and matched side and palmar/dorsal,sgmnet,sgmnet,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_nc.csv,bioverify/results/face_multipie_500_nc_masked_all_matchers/config.yaml,bioverify/results/face_multipie_500_nc_masked_all_matchers/summary.json,bioverify/results/face_multipie_500_nc_masked_all_matchers/evaluation/sgmnet_threshold_analysis.json,0.432,0.504,0.5277777777777778,0.076,0.5666640000000001,0.076,0.068,0.924,0.932,500,250,250,0.189710142738641
face_multipie_500_nc_masked_all_matchers,All matchers 500 faces Multi-PIE with masking and matched side and palmar/dorsal,aspanformer,aspanformer,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_nc.csv,bioverify/results/face_multipie_500_nc_masked_all_matchers/config.yaml,bioverify/results/face_multipie_500_nc_masked_all_matchers/summary.json,bioverify/results/face_multipie_500_nc_masked_all_matchers/evaluation/aspanformer_threshold_analysis.json,0.436,0.558,0.5551330798479087,0.584,0.5796800000000001,0.584,0.468,0.416,0.532,500,250,250,0.3659121347644386
face_multipie_500_nc_masked_all_matchers,All matchers 500 faces Multi-PIE with masking and matched side and palmar/dorsal,deepdetect,deepdetect,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_nc.csv,bioverify/results/face_multipie_500_nc_masked_all_matchers/config.yaml,bioverify/results/face_multipie_500_nc_masked_all_matchers/summary.json,bioverify/results/face_multipie_500_nc_masked_all_matchers/evaluation/deepdetect_threshold_analysis.json,0.41200000000000003,0.582,0.5990338164251208,0.496,0.6052559999999999,0.496,0.332,0.504,0.668,500,250,250,0.2721323352441569
face_multipie_500_nc_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking and matched side and palmar/dorsal,loftr,loftr,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_nc.csv,bioverify/results/face_multipie_500_nc_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_nc_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_nc_masked_all_matchers_fingervein/evaluation/loftr_threshold_analysis.json,0.344,0.546,0.8484848484848485,0.112,0.684904,0.112,0.02,0.888,0.98,500,250,250,0.18716034962324474
face_multipie_500_nc_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking and matched side and palmar/dorsal,orb,orb-fingervein,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_nc.csv,bioverify/results/face_multipie_500_nc_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_nc_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_nc_masked_all_matchers_fingervein/evaluation/orb-fingervein_threshold_analysis.json,0.404,0.514,0.6521739130434783,0.06,0.598272,0.06,0.032,0.94,0.968,500,250,250,0.11240986163578551
face_multipie_500_nc_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking and matched side and palmar/dorsal,sift,sift-fingervein,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_nc.csv,bioverify/results/face_multipie_500_nc_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_nc_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_nc_masked_all_matchers_fingervein/evaluation/sift-fingervein_threshold_analysis.json,0.424,0.514,0.6060606060606061,0.08,0.5757199999999999,0.08,0.052,0.92,0.948,500,250,250,0.10412907577031977
face_multipie_500_nc_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking and matched side and palmar/dorsal,superglue,superglue-fingervein,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_nc.csv,bioverify/results/face_multipie_500_nc_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_nc_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_nc_masked_all_matchers_fingervein/evaluation/superglue-fingervein_threshold_analysis.json,0.388,0.614,0.6007067137809188,0.68,0.637344,0.68,0.452,0.32,0.548,500,250,250,0.17792880458750285
face_multipie_500_nc_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking and matched side and palmar/dorsal,sgmnet,sgmnet-fingervein,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_nc.csv,bioverify/results/face_multipie_500_nc_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_nc_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_nc_masked_all_matchers_fingervein/evaluation/sgmnet-fingervein_threshold_analysis.json,0.514,0.53,0.8947368421052632,0.068,0.5104719999999999,0.068,0.008,0.932,0.992,500,250,250,0.08853987985472837
face_multipie_500_nc_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking and matched side and palmar/dorsal,aspanformer,aspanformer,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_nc.csv,bioverify/results/face_multipie_500_nc_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_nc_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_nc_masked_all_matchers_fingervein/evaluation/aspanformer_threshold_analysis.json,0.436,0.558,0.5551330798479087,0.584,0.5796800000000001,0.584,0.468,0.416,0.532,500,250,250,0.3659121347644386
